id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
96033,"Bonito piso a 200m de la playa, El Palo (Málaga)",510467,Rafael,,Este,36.72031,-4.35627,Entire home/apt,70,3,225,2024-06-29,1.73,1,299,38,VFT/MA/22043
166473,Perfect Location In Malaga,793360,Fred,,Este,36.72031,-4.36108,Private room,29,5,98,2024-06-24,0.63,5,147,9,
330760,Malaga Lodge Guesthouse Double room-shared bath.,1687526,Mayte,,Centro,36.729786,-4.413462,Private room,64,1,56,2024-06-16,0.37,6,104,6,VFT/MA/12240
340024,NEW APARTMENT IN MALAGA CENTER,1725690,Carlos,,Centro,36.72813,-4.41422,Entire home/apt,69,3,276,2024-06-30,2.01,1,171,51,VFT/MA/02334
358541,Casa La Maga - Apartment for happy people,1526932,Cristina,,Centro,36.72374,-4.4213,Entire home/apt,96,2,377,2024-06-08,2.54,1,125,27,VFT/MA/02288
413063,Apartment historical centre Malaga,2055304,Michael,,Centro,36.720215,-4.42297,Entire home/apt,86,4,34,2024-02-29,0.24,1,310,12,CTC-2023053184
421077,LUXURY MALAGA HISTORIC CENTER BEACH,2092252,Juliette,,Centro,36.721,-4.42454,Entire home/apt,108,1,101,2024-06-16,0.68,15,338,10,H
427860,Enjoy the coast of the Sun,2126353,Pablo,,Centro,36.73323440551758,-4.415975093841553,Private room,55,3,23,2024-05-01,0.16,3,24,3,CTC-2019124497
505688,Duplex Apartment in Malaga Center,2489890,Fede,,Centro,36.72402,-4.42013,Entire home/apt,102,4,231,2024-05-18,1.59,12,80,26,VFT/MA/00643
507961,Duplex Apartment. Malaga Center,2489890,Fede,,Centro,36.72387,-4.41937,Entire home/apt,83,4,193,2024-06-10,1.32,12,84,22,VFT/MA/00641
508787,Modern Apartment in Malaga Center,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,76,3,236,2024-06-12,1.62,12,59,18,VFT/MA/00576
